lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(52:4)]_FA18:0,0.6077253275296536,5.871843977393162,1.8856045374939185,0.16969852037626626,0.9999514498362397,TAG,140310.06994628906,244853.97891235352,104448.62731933594,115007.64831542967,121488.24792480467,27233.32211303711
[TG(52:5)]_FA14:0,0.13508962218658094,4.929366055937863,0.09177280595713455,0.7619353829549654,0.9999514498362397,TAG,72497.1653137207,83267.6657409668,68743.72509765625,65060.104553222656,59234.364654541016,27806.302032470703
[TG(52:5)]_FA18:0,0.14758800345399517,8.417697247787247,0.10960777898435481,0.740591116368023,0.9999514498362397,TAG,1159708.3243408203,778246.2439880371,692361.1066894531,983353.1069946288,729578.6400146484,26629.72183227539
[TG(52:5)]_FA22:5,0.44980926853932346,7.666913792052243,1.0288506291990416,0.31042877475265035,0.9999514498362397,TAG,570352.5383300781,655124.3428955078,444696.5701904297,382356.6284179688,398571.0496826172,121161.00854492188
[TG(52:6)]_FA14:0,-0.15733135795529057,4.7041926194223915,0.12279225784487835,0.7260255730865868,0.9999514498362397,TAG,50186.42346191406,62668.66427612305,55004.68423461914,51453.76333618164,66046.1646118164,31966.622344970703
[TG(52:6)]_FA16:0,0.19249628589070955,5.872824809052146,0.18678292000697644,0.6656077627467487,0.9999514498362397,TAG,165910.6127319336,143895.12982177734,116388.9871826172,114897.14831542967,144396.10931396484,45473.023040771484
[TG(52:6)]_FA18:0,0.12191381741173177,6.8699796817984335,0.07470994133473141,0.7845986389954756,0.9999514498362397,TAG,374388.8052368164,261456,226781.1762084961,300902.744140625,280145.7180786133,37933.282958984375
[TG(52:6)]_FA18:1,0.05424712543108122,8.428430005779445,0.014749387337360531,0.9033369476251591,0.9999514498362397,TAG,1086562.7791748047,800036.1994934082,688485.6643676758,1120744.7209472656,665263.981628418,25199.92176818848
[TG(52:6)]_FA22:6,0.47521175276630717,7.858457593846865,1.149166124052499,0.2837237770881682,0.9999514498362397,TAG,647769.1710205078,767902.0753173828,523684.2751464844,423878.2504882813,442235.3137207031,136147.7891845703
[TG(52:7)|TG(51:0)]_FA14:0,-0.12235883861050763,5.01393471517107,0.07440535298610484,0.7850273725807634,0.9999514498362397,TAG,75492.20617675781,67663.62506103516,63712.66473388672,62060.80450439453,90949.32580566406,35673.96228027344
